PacketCounter,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Roll,Pitch,Yaw,Latitude,Longitude,Altitude,Vel_X,Vel_Y,Vel_Z
41423,727400000,2021,1,2,6,48,40,247,22.032295,-20.434536,-35.319447,33.97369246,-117.7738426,347.168318,0.030293,-0.471866,-0.128646
41424,729900000,2021,1,2,6,48,40,247,21.923496,-20.431959,-35.366196,33.97369245,-117.7738426,347.170562,0.030307,-0.471304,-0.127653
41425,732400000,2021,1,2,6,48,40,247,21.818005,-20.430046,-35.414295,33.97369243,-117.7738426,347.170243,0.029751,-0.471369,-0.127547
41426,734900000,2021,1,2,6,48,40,247,21.715487,-20.425526,-35.461975,33.97369242,-117.7738426,347.169924,0.029336,-0.471391,-0.127383
41427,737400000,2021,1,2,6,48,40,247,21.615517,-20.420897,-35.511475,33.97369241,-117.7738426,347.169606,0.028974,-0.471413,-0.127178
41428,739900000,2021,1,2,6,48,40,247,21.51515,-20.415781,-35.561577,33.9736924,-117.7738426,347.169289,0.029178,-0.470842,-0.126836
41429,742400000,2021,1,2,6,48,40,247,21.415703,-20.41021,-35.613274,33.97369239,-117.7738426,347.168973,0.029164,-0.470841,-0.126477
41430,744900000,2021,1,2,6,48,40,247,21.314814,-20.404343,-35.664879,33.97369238,-117.7738426,347.168657,0.02921,-0.470956,-0.126087
41431,747400000,2021,1,2,6,48,40,247,21.212833,-20.39817,-35.716373,33.97369237,-117.7738426,347.168342,0.029362,-0.470983,-0.125587
41432,749900000,2021,1,2,6,48,40,247,21.10845,-20.392715,-35.767826,33.97369236,-117.7738426,347.170607,0.030002,-0.470483,-0.124168
41433,752400000,2021,1,2,6,48,40,247,20.999599,-20.38599,-35.817757,33.97369235,-117.7738426,347.170297,0.030438,-0.470418,-0.123683
41434,754900000,2021,1,2,6,48,40,247,20.885941,-20.380243,-35.866756,33.97369234,-117.7738426,347.169988,0.03096,-0.47016,-0.12315
41435,757400000,2021,1,2,6,48,40,247,20.767569,-20.374851,-35.914249,33.97369233,-117.7738426,347.169681,0.031515,-0.469833,-0.122677
41436,759900000,2021,1,2,6,48,40,247,20.643837,-20.370634,-35.960518,33.97369232,-117.7738426,347.169375,0.032555,-0.468817,-0.122206
41437,762400000,2021,1,2,6,48,40,247,20.515516,-20.366423,-36.003819,33.97369231,-117.7738426,347.16907,0.033255,-0.46829,-0.121826
41438,764900000,2021,1,2,6,48,40,247,20.382078,-20.364563,-36.044239,33.9736923,-117.7738426,347.168766,0.034046,-0.467503,-0.121562
41439,767400000,2021,1,2,6,48,40,247,20.245501,-20.363409,-36.082359,33.97369229,-117.7738426,347.168462,0.034793,-0.466736,-0.121352
41440,769900000,2021,1,2,6,48,40,247,20.105028,-20.362825,-36.116459,33.97369228,-117.7738426,347.165719,0.036085,-0.465299,-0.122125
41441,772400000,2021,1,2,6,48,40,247,19.962942,-20.361313,-36.148682,33.97369227,-117.7738426,347.165414,0.036736,-0.464483,-0.121965
41442,774900000,2021,1,2,6,48,40,247,19.819448,-20.359869,-36.17852,33.97369226,-117.7738426,347.16511,0.037378,-0.46373,-0.121862
41443,777400000,2021,1,2,6,48,40,247,19.675463,-20.357817,-36.206264,33.97369224,-117.7738426,347.164805,0.037901,-0.463,-0.121768
41444,779900000,2021,1,2,6,48,40,247,19.532415,-20.355583,-36.23143,33.97369223,-117.7738426,347.1645,0.038971,-0.461664,-0.121651
41445,782400000,2021,1,2,6,48,40,247,19.38929,-20.352253,-36.255695,33.97369222,-117.7738426,347.164196,0.039493,-0.46106,-0.121576
41446,784900000,2021,1,2,6,48,40,247,19.249512,-20.348257,-36.277874,33.97369221,-117.7738426,347.163892,0.039987,-0.460569,-0.121446
41447,787400000,2021,1,2,6,48,40,247,19.113407,-20.34272,-36.300358,33.9736922,-117.7738426,347.163589,0.040444,-0.460103,-0.12125
41448,789900000,2021,1,2,6,48,40,247,18.981874,-20.336355,-36.321838,33.97369219,-117.7738426,347.158334,0.041465,-0.45902,-0.122756
41449,792400000,2021,1,2,6,48,40,247,18.856441,-20.32914,-36.343342,33.97369218,-117.7738426,347.158027,0.041853,-0.458722,-0.122387
41450,794900000,2021,1,2,6,48,40,247,18.736776,-20.321196,-36.364296,33.97369217,-117.7738426,347.157722,0.04227,-0.458418,-0.121888
41451,797400000,2021,1,2,6,48,40,247,18.623552,-20.311535,-36.384384,33.97369216,-117.7738426,347.157418,0.042647,-0.458185,-0.121333
41452,799900000,2021,1,2,6,48,40,247,18.517956,-20.300978,-36.405792,33.97369215,-117.7738426,347.157116,0.043485,-0.457265,-0.120686
41453,750000000,2021,1,2,6,48,40,247,,,,,,0,,,
41454,802400000,2021,1,2,6,48,40,247,18.419935,-20.289326,-36.426849,33.97369214,-117.7738426,347.156815,0.043761,-0.4571,-0.119937
41455,804900000,2021,1,2,6,48,40,247,18.329712,-20.277235,-36.448261,33.97369213,-117.7738426,347.156516,0.043991,-0.456898,-0.119136
41456,807400000,2021,1,2,6,48,40,247,18.247469,-20.264597,-36.470608,33.97369212,-117.7738426,347.156219,0.04429,-0.456641,-0.118359
41457,809900000,2021,1,2,6,48,40,247,18.17329,-20.250093,-36.493729,33.97369211,-117.7738426,347.156122,0.045083,-0.455717,-0.117564
41458,812400000,2021,1,2,6,48,40,247,18.10733,-20.235016,-36.516705,33.9736921,-117.7738426,347.155829,0.045408,-0.455295,-0.116837
