"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","X","Y","Z","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle"
- 0.09828335046768188,0.7137795686721802,0.1400538086891174,-0.09828335389252936,0.7137795981415608,0.1400538026063839,78.0,11.0,35216.0,0.734,2754107278093.0,107278093.0,11.0
- 0.09904265403747559,0.7202242016792297,-0.03810057789087296,-0.09904265555084198,0.720224200148028,-0.03810057614486311,93.0,12.0,35217.0,0.728,2754107278095.0,107278095.0,-3.0
- 0.09783972799777985,0.7123979330062866,0.1660138815641403,-0.09783972677308801,0.7123979085744492,0.1660138781057724,100.0,13.0,35218.0,0.738,2754107278097.0,107278097.0,13.0
- 0.09809654951095581,0.7151938676834106,-0.01260063704103231,-0.09809654583129673,0.7151938839446821,-0.0126006374477187,100.0,14.0,35219.0,0.722,2754107278099.0,107278099.0,-1.0
- 0.09910492599010468,0.7234836220741272,0.1956671923398972,-0.09910492939158841,0.7234836283973258,0.1956671980975057,99.0,15.0,35220.0,0.756,2754107278102.0,107278102.0,15.0
- 0.09952016919851303,0.7331756353378296,-0.1982553899288178,-0.09952017261386292,0.7331756516377081,-0.1982553885485309,22.0,0.0,35227.0,0.766,2754107278122.0,107278122.0,-15.0
- 0.09965923428535461,0.7351627945899963,0.0129496855661273,-0.09965923406995986,0.7351628001388941,0.01294968557646437,100.0,1.0,35228.0,0.742,2754107278125.0,107278125.0,1.0
- 0.09699472039937973,0.7164466977119446,-0.1669136881828308,-0.0969947241110244,0.7164466806036256,-0.1669136823231478,27.0,2.0,35229.0,0.742,2754107278127.0,107278127.0,-13.0
- 0.09887375682592392,0.7303260564804077,0.03862393647432327,-0.09887375821275496,0.7303260720577929,0.03862393570729254,100.0,3.0,35229.0,0.738,2754107278129.0,107278129.0,3.0
- 0.09338238090276718,0.6906709671020508,-0.1354743838310242,-0.0933823820872686,0.6906709934978202,-0.1354743867173468,100.0,4.0,35230.0,0.71,2754107278132.0,107278132.0,-11.0
- 0.09837836772203445,0.7285798192024231,0.06432093679904938,-0.09837837005476073,0.7285797919385076,0.06432093814777172,85.0,5.0,35231.0,0.738,2754107278134.0,107278134.0,5.0
- 0.09820422530174255,0.7282485365867615,-0.116387240588665,-0.09820422458621,0.7282485428584107,-0.1163872419899318,44.0,6.0,35232.0,0.744,2754107278136.0,107278136.0,-9.0
- 0.1009440049529076,0.7495535612106323,0.09286443889141083,-0.1009440027461763,0.7495535365492445,0.09286443967472238,97.0,7.0,35233.0,0.762,2754107278139.0,107278139.0,7.0
- 0.09922557324171066,0.7377668619155884,-0.09140200912952423,-0.09922557031303865,0.7377668732134671,-0.0914020075538606,20.0,8.0,35234.0,0.75,2754107278141.0,107278141.0,-7.0
- 0.09808586537837982,0.7302576303482056,0.1167001128196716,-0.09808586588453148,0.7302576579707594,0.1167001109200122,100.0,9.0,35235.0,0.746,2754107278143.0,107278143.0,9.0
